size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
10,par,0.001635,2094950208,2094950613,10,2.78516
10,built,0.000001,2094948230,2094951078,0,1.84375
10,seq,0.000000,2094950765,2094951156,0,1.78516
10,par,0.000362,2094950843,2094950901,1,1.96875
10,par,0.001126,2094950500,2094950922,2,2.03125
10,par,0.001126,2094950699,2094950814,3,4.80859
10,par,0.001787,2094950383,2094950478,4,2.84766
10,par,0.001748,2094950659,2094950771,5,4.83984
10,par,0.001718,2094950756,2094950048,6,4.85156
10,par,0.001913,2094950609,2094950182,7,6.79297
10,par,0.002264,2094950628,2094949982,8,4.85156
10,par,0.001661,2094950536,2094950083,9,4.89453
10,par,0.001620,2094950713,2094950208,10,4.85156
10,built,0.000001,2094950395,2094951072,0,1.75
2000,seq,0.000092,2094950657,2094951058,0,1.75391
2000,par,0.000441,2094950432,2094950947,1,1.85547
2000,par,0.001169,2094950225,2094950965,2,1.86719
2000,par,0.002231,2094950622,2094950512,3,4.75
2000,par,0.003581,2094950512,2094950602,4,8.79297
2000,par,0.007669,2094950680,2094950711,5,14.8125
2000,par,0.013464,2094950228,2094950719,6,30.7852
2000,par,0.017208,2094950709,2094950674,7,32.8789
2000,par,0.042418,2094950867,2094950762,8,50.8125
2000,par,0.061713,2094950819,2094950902,9,59.4922
2000,par,0.190174,2094950895,2094950848,10,75.2227
2000,built,0.000174,2094950688,2094951128,0,1.78125
2000,seq,0.000093,2094950699,2094951062,0,1.88281
2000,par,0.001398,2094950754,2094950710,1,1.97266
2000,par,0.000576,2094950617,2094950813,2,2.87109
2000,par,0.001806,2094950815,2094950755,3,4.84766
2000,par,0.003489,2094950887,2094950724,4,8.87109
2000,par,0.006694,2094950583,2094947008,5,16.8008
2000,par,0.011234,2094950794,2094950725,6,22.7305
2000,par,0.016616,2094950578,2094950502,7,52.7266
2000,par,0.029782,2094950742,2094950635,8,38.7969
2000,par,0.052035,2094950648,2094950729,9,122.691
2000,par,0.098910,2094950560,2094950808,10,59.8594
2000,built,0.000174,2094950840,2094950903,0,1.83984
2000,seq,0.000093,2094950821,2094951072,0,1.9375
2000,par,0.000425,2094950724,2094950922,1,2.05078
2000,par,0.001210,2094950756,2094950295,2,2.82031
2000,par,0.002236,2094950516,2094950021,3,4.74609
2000,par,0.003448,2094950637,2094950703,4,8.87109
2000,par,0.006895,2094950611,2094950396,5,14.8516
2000,par,0.012268,2094950683,2094950821,6,24.7422
2000,par,0.020416,2094950662,2094950807,7,52.8594
2000,par,0.042538,2094948091,2094950754,8,60.7383
